campaign_name,num_chunk,mturk_id,accept,chunk1,chunk2,chunk3,chunk4,chunk5,video_name,video_bitrate,video_rebuf
BigBuckBunny1_2_1000k_720,5,A272A0JGRTBFCR,0,5,5,5,5,5,BigBuckBunny1,3,2
BigBuckBunny1_2_1000k_720,5,A3O7X46E3REM7I,0,2,5,4,2,2,BigBuckBunny1,3,2
BigBuckBunny1_2_1000k_720,5,A38NFX88VZDMJ3,0,3,5,2,2,3,BigBuckBunny1,3,2
BigBuckBunny1_2_1000k_720,5,A11SX02CICZN85,0,3,2,3,3,3,BigBuckBunny1,3,2
BigBuckBunny1_2_1000k_720,5,A1B5SSGMTAQ9B5,0,3,5,4,4,5,BigBuckBunny1,3,2
BigBuckBunny1_2_1000k_720,5,A2BO8M77CS3SGZ,0,1,3,2,4,3,BigBuckBunny1,3,2
BigBuckBunny1_2_1000k_720,5,ARTQWWNFA7IOD,0,2,5,2,2,2,BigBuckBunny1,3,2
BigBuckBunny1_2_1000k_720,5,A3QZMGTVA4VO44,1,3,4,2,2,3,BigBuckBunny1,3,2
BigBuckBunny1_2_1000k_720,5,A3OLRWACCCCUTU,1,4,3,3,3,4,BigBuckBunny1,3,2
BigBuckBunny1_2_1000k_720,5,A272A0JGRTBFCR,1,4,4,4,4,4,BigBuckBunny1,3,2
BigBuckBunny1_2_1000k_720,5,A1L8RL58MYU4NC,1,2,2,2,2,2,BigBuckBunny1,3,2
BigBuckBunny1_2_1000k_720,5,A6DX45U3O1CR,1,1,1,1,1,1,BigBuckBunny1,3,2
BigBuckBunny1_2_1000k_720,5,A1NH9LK567B862,1,4,4,4,4,4,BigBuckBunny1,3,2
BigBuckBunny1_2_1000k_720,5,AVPD36WUJKJFS,1,3,3,3,3,2,BigBuckBunny1,3,2
BigBuckBunny1_2_1000k_720,5,AJZBAP861F6X1,1,2,2,2,2,2,BigBuckBunny1,3,2
BigBuckBunny1_2_1000k_720,5,A3QS7M912JGKFD,1,3,3,3,3,3,BigBuckBunny1,3,2
BigBuckBunny1_2_1000k_720,5,A2QD9PJUKW7PKK,1,4,4,4,4,4,BigBuckBunny1,3,2
BigBuckBunny1_2_1000k_720,5,A3P2WQO8VESWF2,1,4,4,4,3,3,BigBuckBunny1,3,2
BigBuckBunny1_2_1000k_720,5,A1MIR0TP081SKT,1,2,3,2,3,2,BigBuckBunny1,3,2
BigBuckBunny1_2_1000k_720,5,A70L26UXLTGLC,1,3,4,3,4,3,BigBuckBunny1,3,2
BigBuckBunny1_2_1000k_720,5,A2YHSU2IJZ9J14,1,3,3,2,2,2,BigBuckBunny1,3,2
BigBuckBunny1_2_1000k_720,5,A3169N2SCN3ENK,1,1,1,1,1,1,BigBuckBunny1,3,2
BigBuckBunny1_2_1000k_720,5,A31Z5TPD8QKE26,1,1,1,2,2,3,BigBuckBunny1,3,2
BigBuckBunny1_2_1000k_720,5,A1UM7U8DA3RMA9,1,3,3,4,3,3,BigBuckBunny1,3,2
BigBuckBunny1_2_1000k_720,5,A3B67I3A0YR2D,1,1,1,1,1,1,BigBuckBunny1,3,2
BigBuckBunny1_2_1000k_720,5,A2H8GNSEVUJXYL,1,3,3,4,2,3,BigBuckBunny1,3,2
BigBuckBunny1_2_1000k_720,5,A27PVIL93ZMY46,1,3,5,4,3,3,BigBuckBunny1,3,2
BigBuckBunny1_2_1000k_720,5,A1IU5OP7BBZHZ7,1,2,2,2,2,2,BigBuckBunny1,3,2
BigBuckBunny1_2_1000k_720,5,ASWZO1WY1UHEP,1,3,3,3,3,4,BigBuckBunny1,3,2
BigBuckBunny1_2_1000k_720,5,A3PGUPNMOU5BPW,1,3,4,3,3,3,BigBuckBunny1,3,2
BigBuckBunny1_2_1000k_720,5,A2BO8M77CS3SGZ,1,2,2,2,2,2,BigBuckBunny1,3,2
BigBuckBunny1_2_1000k_720,5,A1S34BUFNQ33SQ,1,4,4,4,4,4,BigBuckBunny1,3,2
BigBuckBunny1_2_1000k_720,5,A3N5RTXKN4I723,1,1,1,1,1,1,BigBuckBunny1,3,2
BigBuckBunny1_2_1000k_720,5,AH22ILXQFI4R2,1,1,1,1,1,1,BigBuckBunny1,3,2
BigBuckBunny1_2_1000k_720,5,A1IHI23KH87K5W,1,3,4,3,2,3,BigBuckBunny1,3,2
BigBuckBunny1_2_1000k_720,5,ASPRULQHB8B1F,1,1,1,1,1,1,BigBuckBunny1,3,2
BigBuckBunny1_2_1000k_720,5,A30YUELTPFSF0T,1,3,3,3,3,3,BigBuckBunny1,3,2
BigBuckBunny1_2_1000k_720,5,A122E99M2DQY1G,1,1,1,1,1,1,BigBuckBunny1,3,2
BigBuckBunny1_0_300k_180,5,A272A0JGRTBFCR,0,5,5,5,5,5,BigBuckBunny1,2,0
BigBuckBunny1_0_300k_180,5,A1L8RL58MYU4NC,0,4,4,5,4,4,BigBuckBunny1,2,0
BigBuckBunny1_0_300k_180,5,AJZBAP861F6X1,0,3,2,2,3,4,BigBuckBunny1,2,0
BigBuckBunny1_0_300k_180,5,A219VCQZADQ45W,0,4,5,4,4,4,BigBuckBunny1,2,0
BigBuckBunny1_0_300k_180,5,A21D966T20TNKX,0,3,5,5,5,5,BigBuckBunny1,2,0
BigBuckBunny1_0_300k_180,5,A2SO6K35NMGBB7,0,4,5,4,3,4,BigBuckBunny1,2,0
BigBuckBunny1_0_300k_180,5,A38NFX88VZDMJ3,0,5,4,4,4,5,BigBuckBunny1,2,0
BigBuckBunny1_0_300k_180,5,A124E03UMDZAA9,0,3,4,3,4,4,BigBuckBunny1,2,0
BigBuckBunny1_0_300k_180,5,A1UM7U8DA3RMA9,0,4,4,4,4,4,BigBuckBunny1,2,0
BigBuckBunny1_0_300k_180,5,A3N5P5VO81FIJ6,0,5,5,5,5,5,BigBuckBunny1,2,0
BigBuckBunny1_0_300k_180,5,A1USDMJVT10CE4,0,3,5,3,4,3,BigBuckBunny1,2,0
BigBuckBunny1_0_300k_180,5,A3B67I3A0YR2D,0,5,5,1,5,1,BigBuckBunny1,2,0
BigBuckBunny1_0_300k_180,5,A2SKH7WZUEDGGI,0,4,4,4,4,4,BigBuckBunny1,2,0
BigBuckBunny1_0_300k_180,5,A1UC5HHLB8VIJE,0,3,4,4,4,4,BigBuckBunny1,2,0
BigBuckBunny1_0_300k_180,5,A2H8GNSEVUJXYL,0,3,2,3,1,3,BigBuckBunny1,2,0
BigBuckBunny1_0_300k_180,5,A1IU5OP7BBZHZ7,0,5,5,4,4,4,BigBuckBunny1,2,0
BigBuckBunny1_0_300k_180,5,A3PGUPNMOU5BPW,0,4,4,4,4,4,BigBuckBunny1,2,0
BigBuckBunny1_0_300k_180,5,A22VLXXVIEJSD1,1,5,4,3,3,2,BigBuckBunny1,2,0
BigBuckBunny1_0_300k_180,5,A3OLRWACCCCUTU,1,3,3,2,3,2,BigBuckBunny1,2,0
BigBuckBunny1_0_300k_180,5,A2MCG5W6LHSRG9,1,3,3,3,3,2,BigBuckBunny1,2,0
BigBuckBunny1_0_300k_180,5,A6DX45U3O1CR,1,1,1,1,1,1,BigBuckBunny1,2,0
BigBuckBunny1_0_300k_180,5,A8FUMDQFBKMXR,1,4,4,4,3,3,BigBuckBunny1,2,0
BigBuckBunny1_0_300k_180,5,A18LFH7XW61JO9,1,4,3,3,4,3,BigBuckBunny1,2,0
BigBuckBunny1_0_300k_180,5,A1NH9LK567B862,1,4,4,4,4,4,BigBuckBunny1,2,0
BigBuckBunny1_0_300k_180,5,AVPD36WUJKJFS,1,4,4,4,4,4,BigBuckBunny1,2,0
BigBuckBunny1_0_300k_180,5,A2QD9PJUKW7PKK,1,2,3,3,2,3,BigBuckBunny1,2,0
BigBuckBunny1_0_300k_180,5,A3P2WQO8VESWF2,1,4,4,4,4,4,BigBuckBunny1,2,0
BigBuckBunny1_0_300k_180,5,A320BT7PLIQVZT,1,3,3,3,3,3,BigBuckBunny1,2,0
BigBuckBunny1_0_300k_180,5,A1Q2C5GJTB09WW,1,5,4,4,4,4,BigBuckBunny1,2,0
BigBuckBunny1_0_300k_180,5,A2YHSU2IJZ9J14,1,3,3,3,2,3,BigBuckBunny1,2,0
BigBuckBunny1_0_300k_180,5,A3169N2SCN3ENK,1,1,1,1,1,1,BigBuckBunny1,2,0
BigBuckBunny1_0_300k_180,5,A11SX02CICZN85,1,4,3,4,3,4,BigBuckBunny1,2,0
BigBuckBunny1_0_300k_180,5,A31Z5TPD8QKE26,1,4,4,3,4,3,BigBuckBunny1,2,0
